,product_id,product_type,product_name,size,colour,price,quantity_available_product,description,customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,sales_id,price_per_unit,quantity_product_sales,total_price,min_discount_per_product,profit_per_product,profit_per_product (dollar),total_profit (dollars)
0,218,Shirt,Chambray,L,orange,105,44,"A orange coloured, L sized, Chambray Shirt",64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,30811,2021-8-30,2021-09-24,0,106,2,212,0.0%,0.95%,1,2
1,481,Jacket,Puffer,S,indigo,110,62,"A indigo coloured, S sized, Puffer Jacket",64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,30811,2021-8-30,2021-09-24,1,118,1,118,0.0%,7.27%,8,8
2,2,Shirt,Oxford Cloth,M,red,114,54,"A red coloured, M sized, Oxford Cloth Shirt",64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,30811,2021-8-30,2021-09-24,2,96,3,288,15.79%,0.0%,0,0
3,1002,Trousers,Wool,M,blue,111,52,"A blue coloured, M sized, Wool Trousers",64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,30811,2021-8-30,2021-09-24,3,106,2,212,4.5%,0.0%,0,0
4,691,Jacket,Parka,S,indigo,119,53,"A indigo coloured, S sized, Parka Jacket",64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,30811,2021-8-30,2021-09-24,4,113,3,339,5.04%,0.0%,0,0
5,981,Trousers,Wool,S,red,111,65,"A red coloured, S sized, Wool Trousers",64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1,30811,2021-8-30,2021-09-24,5,106,3,318,4.5%,0.0%,0,0
6,915,Trousers,Drawstring,XS,orange,104,41,"A orange coloured, XS sized, Drawstring Trousers",473,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,50490,2021-2-3,2021-02-13,6,96,1,96,7.69%,0.0%,0,0
7,686,Jacket,Parka,S,blue,119,72,"A blue coloured, S sized, Parka Jacket",473,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,50490,2021-2-3,2021-02-13,7,113,1,113,5.04%,0.0%,0,0
8,1091,Trousers,Cropped,S,orange,99,78,"A orange coloured, S sized, Cropped Trousers",473,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,50490,2021-2-3,2021-02-13,8,115,3,345,0.0%,16.16%,16,48
9,1196,Trousers,Pleated,S,orange,90,72,"A orange coloured, S sized, Pleated Trousers",473,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,2,50490,2021-2-3,2021-02-13,9,105,1,105,0.0%,16.67%,15,15
